"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"1890",3894,0.00000000000620792306449,0.000000000034403410738616,0.121,24.0928654070858,"UBXN1","old"
"1891",3896,0,0,0.177,Inf,"UBXN1","old"
"1892",3899,1,1,0.026,0,"MARS","Not significant"
"1893",3900,6.42819131258e-14,0.000000000000400657878375692,0.214,28.5456685028947,"MARS","old"
"1894",3901,0.000096610653596,0.000281388580241857,0.073,8.17577399604826,"MARS","Not significant"
"1895",3902,1,1,0.003,0,"MARS","Not significant"
"1896",3903,0,0,0.306,Inf,"MARS","old"
"1897",3904,1,1,0.007,0,"MARS","Not significant"
"1898",3905,0,0,0.249,Inf,"MARS","old"
"1899",3906,0.000124113171967,0.000357875473494016,0.115,7.93532547147592,"TRMT1","old"
"1900",3909,1,1,0.005,0,"TRMT1","Not significant"
"1901",3910,0.0000756914629452,0.000223381010222009,0.236,8.40663167842468,"PLCD1","old"
"1902",3912,0.0109269029364,0.0247943017533226,0.138,3.6971414202231,"PLCD1","old"
"1903",3914,0.00000073504317577,0.00000270140774050805,0.087,12.8217375354548,"PNPT1","Not significant"
"1904",3922,1,1,0.011,0,"GPAT2","Not significant"
"1905",3927,0.0000290950607353,0.0000904420701410119,0.019,9.31080102115468,"AFTPH","Not significant"
"1906",3929,1,1,0,0,"MRPL55","Not significant"
"1907",3930,0,0,0.081,Inf,"MRPL55","Not significant"
"1908",3934,0,0,0.107,Inf,"RBM39","old"
"1909",3935,1.11022302463e-16,8.36766553486518e-16,0.245,34.7169865509238,"RBM39","old"
"1910",3942,0.00000000000169486646939,0.00000000000968862407647796,0.055,25.3600686942795,"HNRNPC","Not significant"
"1911",3944,1,1,0.002,0,"FAM136A","Not significant"
"1912",3953,1,1,0.005,0,"LIN37","Not significant"
"1913",3954,1,1,0.003,0,"LIN37","Not significant"
"1914",3955,0.11276836022,0.215213165842532,0.203,1.53612627300023,"LIN37","Not significant"
"1915",3956,0.910359172961,1,0.165,0,"LIN37","Not significant"
"1916",3958,0.000828179058283,0.00216849236051759,0.243,6.13372311762907,"DHRS1","old"
"1917",3959,0.00887402756412,0.0204006856108043,0.179,3.89218677032396,"DHRS1","old"
"1918",3961,1,1,-0.001,0,"EIF2A","Not significant"
"1919",3962,1,1,0,0,"EIF2A","Not significant"
"1920",3964,0.56357666031,0.899043327534578,0.1,0.1064240504165,"DCTN1","Not significant"
"1921",3965,0.549629135014,0.881385640731125,0.128,0.126260018139763,"DCTN1","Not significant"
"1922",3966,0.00000527882289325,0.0000178597744157678,0.21,10.9329596132918,"DCTN1","old"
"1923",3967,1,1,0.103,0,"DCTN1","Not significant"
"1924",3968,1,1,0.001,0,"WBP1","Not significant"
"1925",3969,0.000000936933983064,0.00000340507387465173,0.128,12.5902439226652,"WBP1","old"
"1926",3970,0.0451715125612,0.0929421419728344,0.228,2.37577810875599,"TTC31","Not significant"
"1927",3971,0.0493300464511,0.100947325632389,0.231,2.2931564265763,"TTC31","Not significant"
"1928",3972,1,1,0.013,0,"TTC31","Not significant"
"1929",3973,0.000000000110728204383,0.000000000568613703639745,0.353,21.2878198163342,"TTC31","old"
"1930",3976,1,1,0,0,"TTC31","Not significant"
"1931",3977,0.0735612611785,0.145960558328664,0.15,1.92441884220427,"TTC31","Not significant"
"1932",3980,1,1,-0.004,0,"HTRA2","Not significant"
"1933",3981,0.0000000000176734182844,0.0000000000953547094441361,0.251,23.073417393973,"HTRA2","old"
"1934",3982,1,1,0.009,0,"HTRA2","Not significant"
"1935",3984,0.000000000150879753136,0.000000000762020526405427,0.199,20.9950476230648,"SSFA2","old"
"1936",3985,0.00256454251217,0.00633570033641998,0.099,5.06155492097673,"SSFA2","Not significant"
"1937",3987,0.00140504049031,0.0035962870230035,0.283,5.62785334826003,"RNF44","old"
"1938",3988,0.0000000000581814596501,0.000000000303547359771927,0.111,21.9154834722258,"QKI","old"
"1939",3989,0.000140628006524,0.000403358667424518,0.084,7.81568439821785,"QKI","Not significant"
"1940",3990,0.00419640081401,0.0100824755212531,0.229,4.59695645906467,"STX18","old"
"1941",3992,1,1,0,0,"C14orf93","Not significant"
"1942",3993,1,1,0.031,0,"NCR3","Not significant"
"1943",3996,0.851452080928,1,0.022,0,"ARAP3","Not significant"
"1944",3998,0.0610466759656,0.123023079252799,0.019,2.09538330500957,"TGOLN2","Not significant"
"1945",4001,0,0,0.356,Inf,"MAT2A","old"
"1946",4002,0.00000000483630058223,0.0000000215000331690969,0.081,17.6552113590653,"RNF181","Not significant"
"1947",4003,1,1,-0.027,0,"TMEM150A","Not significant"
"1948",4004,0.014899129383,0.0332683841601263,0.284,3.4031477576056,"TMEM150A","old"
"1949",4005,1,1,0.003,0,"RP11-264B17.3","Not significant"
"1950",4008,1,1,-0.017,0,"SCARB1","Not significant"
"1951",4009,0,0,-0.072,Inf,"C2orf49","Not significant"
"1952",4010,0.592405805641,0.938311038420711,0.207,0.0636737874787561,"CDK2","Not significant"
"1953",4014,1,1,0.006,0,"TRIM27","Not significant"
"1954",4017,1,1,0,0,"RPL7A","Not significant"
"1955",4018,0.0000000102842800942,0.0000000445470275698371,0.055,16.9267204064713,"RPL7A","Not significant"
"1956",4020,0.000000223315079872,0.000000865522607826683,0.174,13.9599323415544,"ORC2","old"
"1957",4021,0.0000000113061117135,0.0000000487576067644687,0.181,16.8364046154807,"NR2C2","old"
"1958",4023,1,1,0.001,0,"MOCS2","Not significant"
"1959",4025,2.81996648255e-14,0.000000000000181061806002784,0.315,29.3399379523037,"REV1","old"
"1960",4026,0,0,0.119,Inf,"ARAP1","old"
"1961",4027,0,0,0.108,Inf,"ARAP1","old"
"1962",4028,0.00000000000529032373464,0.0000000000294514727000015,0.125,24.24827720029,"ARAP1","old"
"1963",4029,0,0,0.324,Inf,"ARAP1","old"
"1964",4030,0.0000337494980589,0.000104644804424399,0.186,9.16493875746766,"TMC8","old"
