"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"2989",7101,1,1,0,0,"ZCRB1","Not significant"
"2990",7103,1,1,-0.006,0,"YPEL5","Not significant"
"2991",7104,0.03733071101,0.169866116409832,-0.004,1.77274470274311,"YPEL5","Not significant"
"2992",7118,1,1,0.009,0,"LMBR1L","Not significant"
"2993",7119,1,1,-0.009,0,"LMBR1L","Not significant"
"2994",7120,1,1,-0.011,0,"LMBR1L","Not significant"
"2995",7124,1,1,0,0,"MCRS1","Not significant"
"2996",7128,1,1,0,0,"CEP68","Not significant"
"2997",7133,1,1,0.024,0,"LETMD1","Not significant"
"2998",7134,0,0,0.045,Inf,"LETMD1","Not significant"
"2999",7139,0.00241857435019,0.0135959405561528,0.01,4.29798401931487,"EIF4B","Not significant"
"3000",7140,1,1,-0.002,0,"EIF4B","Not significant"
"3001",7141,1,1,0.002,0,"EIF4B","Not significant"
"3002",7148,1,1,0.003,0,"XPO1","Not significant"
"3003",7150,1,1,-0.006,0,"PFDN5","Not significant"
"3004",7151,1,1,-0.001,0,"PFDN5","Not significant"
"3005",7152,1,1,0,0,"PFDN5","Not significant"
"3006",7153,1,1,0,0,"PFDN5","Not significant"
"3007",7156,1,1,0,0,"C1RL","Not significant"
"3008",7161,1,1,0,0,"ITGA5","Not significant"
"3009",7162,1,1,-0.001,0,"ITGA5","Not significant"
"3010",7163,1,1,0,0,"RPP21","Not significant"
"3011",7166,0.00399515368426,0.0217352077358197,0.103,3.82882185692339,"RPL41","old"
"3012",7167,0.0000264651196777,0.000204597681990567,0.151,8.4944650339803,"RPL41","old"
"3013",7168,0.255859090849,0.903833593117473,-0.019,0.101110013944345,"RPL41","Not significant"
"3014",7169,1,1,0.002,0,"SMARCC2","Not significant"
"3015",7170,1,1,0.001,0,"SMARCC2","Not significant"
"3016",7174,0.00252986892798,0.0141815187793808,0.194,4.25581565646415,"ARHGAP9","old"
"3017",7175,1,1,0,0,"ARHGAP9","Not significant"
"3018",7176,1,1,0,0,"ARHGAP9","Not significant"
"3019",7179,1,1,0.003,0,"TSPAN31","Not significant"
"3020",7180,1,1,0.001,0,"TSPAN31","Not significant"
"3021",7181,1,1,0,0,"AVIL","Not significant"
"3022",7186,1,1,-0.001,0,"MON2","Not significant"
"3023",7191,0.00000000967861846224,0.000000109227508921688,0.189,16.0298328921581,"TMBIM4","old"
"3024",7192,1,1,0.001,0,"TCIRG1","Not significant"
"3025",7193,1,1,0,0,"TCIRG1","Not significant"
"3026",7194,1,1,0.001,0,"TCIRG1","Not significant"
"3027",7196,1,1,-0.005,0,"VAMP4","Not significant"
"3028",7199,1,1,0,0,"PPA2","Not significant"
"3029",7202,1,1,0,0,"ZFC3H1","Not significant"
"3030",7204,1,1,-0.004,0,"AKT2","Not significant"
"3031",7206,0.3654854209,1,-0.003,0,"AKT2","Not significant"
"3032",7208,1,1,0,0,"AKT2","Not significant"
"3033",7219,1,1,-0.02,0,"C12orf29","Not significant"
"3034",7223,0.201606412965,0.738852231676519,0.071,0.302657335163997,"CHMP4A","Not significant"
"3035",7228,1,1,-0.012,0,"BCAS3","Not significant"
"3036",7231,1,1,-0.002,0,"VEZT","Not significant"
"3037",7233,1,1,0.003,0,"CDK16","Not significant"
"3038",7234,1,1,0,0,"CDK16","Not significant"
"3039",7236,1,1,0.004,0,"HAL","Not significant"
"3040",7239,1,1,0,0,"SLC25A3","Not significant"
"3041",7240,1,1,-0.004,0,"SLC25A3","Not significant"
"3042",7246,1,1,-0.011,0,"COMMD10","Not significant"
"3043",7247,0.0314533315377,0.145337762600673,0.023,1.92869484815548,"WNK1","Not significant"
"3044",7248,1,1,0.008,0,"PRDM4","Not significant"
"3045",7249,1,1,-0.029,0,"UBE3B","Not significant"
"3046",7250,1,1,0.007,0,"UBE3B","Not significant"
"3047",7253,1,1,-0.109,0,"GPN3","Not significant"
"3048",7258,0.254421768676,0.899821065755758,0.105,0.105559351251248,"MAPKAPK5","Not significant"
"3049",7261,1,1,0,0,"OAS2","Not significant"
"3050",7263,0.0238412934473,0.112161167754437,-0.04,2.18781844424473,"LTBP4","Not significant"
"3051",7266,0.0369138724031,0.168225815455349,0.031,1.78244806251068,"TESC","Not significant"
"3052",7267,1,1,-0.01,0,"FBXO21","Not significant"
"3053",7272,0.782815371269,1,0.104,0,"MTO1","Not significant"
"3054",7274,1,1,-0.001,0,"RPLP0","Not significant"
"3055",7275,1,1,0,0,"RPLP0","Not significant"
"3056",7276,0,0,0.013,Inf,"RPLP0","Not significant"
"3057",7277,1,1,0.003,0,"RPLP0","Not significant"
"3058",7278,0.0000997440866914,0.000707211636042349,0.006,7.25418059309641,"RPLP0","Not significant"
"3059",7279,0.0141086858399,0.0692102337421553,0.053,2.67060654084531,"PCM1","Not significant"
"3060",7285,1,1,0,0,"P2RX4","Not significant"
"3061",7292,0.806879782396,1,0.102,0,"NCOR2","Not significant"
"3062",7293,1,1,0,0,"NCOR2","Not significant"
"3063",7294,1,1,0.001,0,"DHX37","Not significant"
"3064",7295,1,1,0,0,"SNAP23","Not significant"
"3065",7298,0.169370602433,0.637542557708077,0.089,0.450134246988577,"NT5C","Not significant"
"3066",7299,1,1,0.002,0,"NT5C","Not significant"
"3067",7300,1,1,0.002,0,"NT5C","Not significant"
"3068",7301,1,1,0,0,"RAN","Not significant"
"3069",7302,1,1,0,0,"RAN","Not significant"
"3070",7303,1,1,0.002,0,"CHMP2B","Not significant"
"3071",7306,0.139582468608,0.53727101069617,0.018,0.621252636367215,"SFSWAP","Not significant"
"3072",7307,1,1,-0.019,0,"PCBP2","Not significant"
"3073",7310,0.233051503859,0.836631075188352,0.094,0.178372076044767,"AKR1B1","Not significant"
"3074",7312,1,1,0,0,"SYNRG","Not significant"
"3075",7315,1,1,0.001,0,"POLR1D","Not significant"
"3076",7318,1,1,-0.008,0,"CANX","Not significant"
"3077",7319,1,1,0,0,"CANX","Not significant"
"3078",7330,1,1,-0.012,0,"GBP3","Not significant"
"3079",7342,1,1,0,0,"LPCAT3","Not significant"
"3080",7343,1,1,0,0,"LPCAT3","Not significant"
"3081",7344,1,1,0,0,"ECHDC2","Not significant"
"3082",7345,0.265866493568,0.934210103944061,0.209,0.068053915361334,"RNF31","Not significant"
"3083",7346,0.0456670837552,0.203457082103391,0.066,1.59230019509659,"MYCBP2","Not significant"
"3084",7348,0.519426742132,1,-0.019,0,"TUBGCP4","Not significant"
"3085",7356,1,1,0.002,0,"C9orf142","Not significant"
"3086",7357,0.0747618348028,0.31211759005085,-0.017,1.16437527098968,"MVP","Not significant"
